                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2L
                     35,                 0.7907,                0.84391,                 1.1179,                0.37913,                0.37333,                 0.2071,                0.09725,                0.92925,                  1.908,                0.87457,              0.0006932,              0.0006932,              0.0006932
                     36,                0.82351,                0.84788,                 1.1185,                0.39427,                0.38667,                0.20457,                0.10455,                0.95056,                 1.9071,                0.89457,              0.0006536,              0.0006536,              0.0006536
                     37,                0.80286,                0.83112,                 1.1132,                0.39443,                0.43426,                0.22393,                0.11544,                0.93996,                 1.7171,                0.87097,               0.000614,               0.000614,               0.000614
                     38,                0.75533,                0.76682,                 1.0799,                0.42119,                    0.4,                0.21952,                0.11188,                0.92545,                 1.6847,                0.85958,              0.0005744,              0.0005744,              0.0005744
                     39,                0.80818,                0.82874,                 1.1229,                0.42329,                0.38172,                0.19447,                0.09805,                0.94711,                 1.7107,                 0.8713,              0.0005348,              0.0005348,              0.0005348
                     40,                0.77884,                0.79168,                 1.1116,                0.38637,                    0.4,                0.18426,                0.08946,                0.99784,                 1.6747,                0.92527,              0.0004952,              0.0004952,              0.0004952
                     41,                0.70054,                0.78895,                 1.0711,                0.33569,                    0.4,                0.17191,                0.08367,                 1.0367,                 1.9335,                0.95616,              0.0004556,              0.0004556,              0.0004556
                     42,                0.74575,                0.75022,                 1.0958,                0.34378,                0.41333,                0.17642,                0.08824,                0.96988,                 1.9074,                0.93461,               0.000416,               0.000416,               0.000416
                     43,                0.73211,                0.75658,                 1.0905,                0.36309,                    0.4,                0.18826,                0.09786,                0.93052,                 1.7061,                0.90631,              0.0003764,              0.0003764,              0.0003764
                     44,                0.67542,                0.65241,                 1.0626,                 0.4295,                0.38667,                0.21063,                0.11052,                0.90933,                 1.6545,                0.88224,              0.0003368,              0.0003368,              0.0003368
                     45,                0.70098,                0.68217,                 1.0873,                0.39292,                   0.44,                0.23266,                0.12299,                0.88331,                 1.6493,                0.86945,              0.0002972,              0.0002972,              0.0002972
                     46,                0.67763,                0.64262,                 1.0622,                0.39919,                   0.44,                0.22041,                0.11226,                0.87987,                 1.5335,                0.86605,              0.0002576,              0.0002576,              0.0002576
                     47,                0.64157,                 0.6269,                 1.0458,                0.40213,                0.41333,                0.21396,                0.11011,                0.89225,                 1.5375,                0.86525,               0.000218,               0.000218,               0.000218
                     48,                0.63192,                0.63791,                 1.0166,                0.43385,                0.41333,                0.21964,                0.11151,                0.89763,                  1.518,                0.86735,              0.0001784,              0.0001784,              0.0001784
                     49,                 0.6466,                0.61627,                  1.031,                0.44903,                    0.4,                0.22362,                0.11451,                0.88893,                 1.5084,                0.86503,              0.0001388,              0.0001388,              0.0001388
                     50,                 0.6249,                0.59074,                 1.0188,                0.44167,                    0.4,                0.23211,                0.11849,                0.88094,                 1.4849,                0.86493,               9.92e-05,               9.92e-05,               9.92e-05
