                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74105,                 0.5955,                 1.0278,                0.85464,                0.61111,                0.76431,                0.53418,                 1.0464,                0.96856,                 1.2016,              0.0006932,              0.0006932,              0.0006932
                     36,                0.74213,                0.58447,                 1.0236,                 0.8125,                0.72222,                0.79181,                0.55018,                 1.0808,                0.95512,                 1.2186,              0.0006536,              0.0006536,              0.0006536
                     37,                0.74007,                0.57793,                 1.0361,                0.82074,                0.72222,                0.81987,                0.56929,                 1.0791,                0.85366,                 1.2015,               0.000614,               0.000614,               0.000614
                     38,                 0.7041,                0.54668,                 1.0282,                0.77548,                0.72222,                0.82405,                0.57398,                 1.0776,                0.90538,                 1.2155,              0.0005744,              0.0005744,              0.0005744
                     39,                0.67022,                  0.539,                 1.0163,                0.82241,                0.70754,                0.80771,                 0.5668,                 1.0179,                0.86638,                 1.2274,              0.0005348,              0.0005348,              0.0005348
                     40,                0.69131,                0.53151,                 1.0093,                0.84985,                0.70752,                0.80218,                 0.5543,                 1.1227,                0.90065,                 1.2766,              0.0004952,              0.0004952,              0.0004952
                     41,                0.62442,                0.48022,                0.97081,                0.86016,                0.70833,                0.81788,                0.55719,                  1.151,                0.90821,                 1.2941,              0.0004556,              0.0004556,              0.0004556
                     42,                 0.6087,                0.47282,                0.95566,                0.83124,                0.72222,                0.81638,                0.57821,                 1.0949,                0.90325,                 1.2611,               0.000416,               0.000416,               0.000416
                     43,                0.57842,                0.42746,                0.93942,                0.93779,                0.68056,                0.81557,                0.57423,                 1.1168,                0.87321,                 1.2568,              0.0003764,              0.0003764,              0.0003764
                     44,                0.59847,                0.43452,                0.95219,                 0.8957,                0.69444,                0.79751,                0.56466,                 1.0972,                0.93013,                 1.2425,              0.0003368,              0.0003368,              0.0003368
                     45,                0.58368,                0.42281,                0.93821,                0.90274,                0.68056,                0.78653,                0.55912,                 1.0974,                0.96492,                 1.2478,              0.0002972,              0.0002972,              0.0002972
                     46,                0.57381,                0.41738,                0.92314,                0.90312,                0.66667,                0.80389,                0.57057,                 1.0615,                0.93043,                 1.2041,              0.0002576,              0.0002576,              0.0002576
                     47,                0.54349,                0.39622,                0.93183,                0.87995,                0.66667,                0.81145,                0.57832,                 1.0624,                0.93724,                  1.218,               0.000218,               0.000218,               0.000218
                     48,                 0.5678,                0.39332,                0.94739,                0.87372,                0.67273,                0.80209,                0.58119,                 1.0431,                0.91807,                 1.2006,              0.0001784,              0.0001784,              0.0001784
                     49,                0.54025,                0.38143,                0.93916,                0.87525,                0.68211,                0.79921,                 0.5824,                 1.0439,                0.88292,                 1.1924,              0.0001388,              0.0001388,              0.0001388
                     50,                0.52732,                0.37509,                0.92178,                0.89424,                0.70833,                0.79915,                0.58033,                 1.0606,                0.89326,                 1.1938,               9.92e-05,               9.92e-05,               9.92e-05
